Genotype,Y,S1,S2,S3,S6,NP1,NP2,NP3,NP4,KR
233,124.8055556,78.66666667,4341.466667,90.69916435,1.300835655,53.33333333,0.38697318,0.295021448,0.328690808,122
234,110.3333333,106.9333333,9321.066667,424.9726444,3.404255319,59.83333333,1.318996416,0.664870603,0.975075988,276
235,113.5555556,107,8012.166667,322.6375839,3.506040268,99.16666667,0.836805556,0.894339561,0.861744966,320
236,117.1666667,79.46666667,4728.666667,166.8941176,2.423529412,76.16666667,0.499252616,0.606640303,0.560941176,218
237,122.5,62.26666667,2715.6,73.79347826,1.369565217,51.66666667,0.416918429,0.3432242,0.338405797,133
238,114.6666667,122.2666667,10155.86667,334.8087912,3.164835165,87,0.504273504,0.626416039,0.806153846,263
239,109.7777778,93.66666667,6000.566667,315.2661996,4.003502627,86.83333333,1.11622807,1.016125607,0.984238179,333
240,110.2777778,100.5333333,6997.066667,348.6910299,4.013289037,81.5,1.153153153,0.996468693,1.001993355,334
241,117.4444444,97.26666667,6645.366667,235.9301775,2.802366864,81,0.533923304,0.646257876,0.690650888,260
242,123.1944445,100.2666667,6815.2,170.38,2.12,75.66666667,0.390428212,0.422617505,0.501333333,217
243,114.4666667,125.9333333,10687.9,383.078853,3.749103943,87.5,0.702797203,0.668647469,0.902747909,271
244,125.0555556,75.66666667,3991.366667,87.59400146,1.23189466,66.66666667,0.502669718,0.382807051,0.332114119,148
245,115.7333333,146.2666667,14891.6,559.8345865,4.406015038,103.5,0.943425076,0.828279093,1.099749373,507
246,123.4444444,105.9333333,7714.3,195.2987342,2.096202532,80.5,0.477477477,0.501842996,0.536371308,229
247,114.7,124.4666667,10498.56667,352.6954087,3.48712206,84.5,0.600434311,0.59757421,0.836282195,258
248,130.8666667,135.4,12290.16667,399.4637053,3.217768147,63,0.506862745,0.584466626,0.880173348,371
249,114,120.4666667,9453.366667,358.5347661,3.648546144,85.16666667,0.812097812,0.691039563,0.913780025,265
251,114.7333333,115.2666667,9163.766667,301.7705818,2.970362239,83.66666667,0.472934473,0.596871507,0.759165752,253
252,124.0555556,84.33333333,4731.766667,114.385979,1.502014504,71.83333333,0.406120761,0.419946437,0.407735697,166
253,112.8666667,102.7333333,7188.166667,292.5983718,3.183175034,70.66666667,0.819571865,0.636882732,0.836363636,267
254,113.3333333,108.6666667,8018.266667,321.5882353,3.657754011,79.16666667,0.657276995,0.657874918,0.871657754,263
255,113.5333333,125.5333333,10667.1,418.3176471,4.196078431,89.16666667,0.881147541,0.739778049,0.984575163,288
256,112.2,107.3333333,7853.466667,343.4460641,3.795918367,74.83333333,1.013888889,0.714233651,0.93877551,275
257,112.5333333,101.6666667,7042.966667,314.8867362,3.925484352,78.5,0.93979442,0.739761393,0.909090909,275
258,119.6666667,107.1333333,7771.9,411.2116402,4.476190476,73.83333333,1.020304569,0.930684004,1.133686067,386
259,112.0333333,91.33333333,5597.866667,267.4140127,3.668789809,78,1.051851852,0.804359244,0.872611465,275
261,121.5555556,88.4,5725.466667,171.0796813,2.19123506,67.5,0.455635492,0.518009686,0.528286853,201
262,125.0277778,88.2,5414.166667,121.8492123,1.750937734,76.83333333,0.506635441,0.387144021,0.39699925,146
263,124.6111111,87.4,5829.1,129.248337,1.667405765,56.33333333,0.32568515,0.314966895,0.387583149,97
264,124.4444445,51.26666667,1792.566667,40.52524491,0.910324039,50.83333333,0.449960599,0.281396112,0.231801055,96
265,124.0555556,84.26666667,6362.266667,148.189441,1.559006211,51,0.387405886,0.340271214,0.392546584,126
266,124.6666667,70.2,3337.766667,75.8009084,1.294473883,58.33333333,0.363834423,0.316977018,0.318849357,97
267,124.7222222,51,1729.366667,37.62218999,0.787527194,47.66666667,0.456178161,0.288250304,0.221899927,59
268,118.6,165.8666667,18866.26667,619.2428884,4.214442013,119.8333333,0.781021898,0.823665201,1.088840263,495
269,123.6111111,70.2,3255.766667,80.52184666,1.360263809,56.83333333,0.33163698,0.329316477,0.347238252,95
