Genotype,Y,S1,S2,S3,S6,NP1,NP2,NP3,NP4,KR
142,0.565705593,116.2666667,14442.66667,298.8137931,1.991724138,64.33333333,0.292377702,0.398444061,0.481103448,368
143,0.529614904,27.93333333,589.3666667,11.56376717,0.460431655,33.33333333,0.56918239,0.201837663,0.109614127,89
144,0.480949347,78.8,4207.466667,116.4428044,1.859778598,59.66666667,0.382001837,0.396545932,0.436162362,170
145,0.482084471,98.66666667,6728.8,247.3823529,2.735294118,52.33333333,0.563291139,0.511803206,0.725490196,358
146,0.566597539,51.46666667,1840,33.82352941,0.816176471,101.5,0.659090909,0.384734152,0.189215686,172
147,0.473790594,68,3106.666667,96.88149688,1.758835759,60.16666667,0.346153846,0.408471004,0.424116424,175
148,0.5556793,137.3333333,14135.2,336.552381,2.314285714,80,0.411214953,0.465325792,0.653968254,372
149,0.519973707,73.4,3581.9,77.69848156,1.184381779,68,0.576344086,0.411705818,0.318438178,234
150,0.520633127,35.86666667,883.6,18.33195021,0.597510373,37,0.48496994,0.198057635,0.148824343,71
151,0.434375233,88.6,5771.1,358.4534161,4.720496894,61,1.806666667,0.912393021,1.100621118,394
152,0.569775155,172.7333333,23272.56667,600.3241617,3.979363715,95.33333333,0.438762626,0.647656978,0.891143594,542
153,0.385099737,34.26666667,811.0666667,121.66,3.92,30.16666667,6.320261438,1.037846328,1.028,297
155,0.499976056,83.8,6773.766667,206.7273652,1.997965412,43.66666667,0.308419244,0.450200583,0.511495422,366
156,0.592901519,113.2666667,15887.76667,308.9001944,1.992222942,60.66666667,0.312091503,0.370538691,0.4404407,350
157,0.545805697,48.4,1596.266667,29.8553616,0.705735661,68,0.671775223,0.339939675,0.181047382,198
158,0.525286276,156,17740.8,534.3614458,3.975903614,86.5,0.574551132,0.696400046,0.939759036,564
160,0.394460364,26.06666667,498.9666667,86.52601156,3.861271676,59.16666667,6.484018265,2.962522203,0.904046243,553
161,0.507900436,89.46666667,7958.666667,225.245283,1.988679245,42.5,0.289495451,0.420908044,0.506415094,361
162,0.434803571,103.8,7713.766667,323.6545455,3.61958042,74.66666667,0.761627907,0.748198155,0.871048951,270
163,0.431797193,63.46666667,3227.466667,158.7278689,2.33442623,47.66666667,0.485207101,0.686194339,0.624262295,259
164,0.506004628,47.66666667,2214.966667,50.99693016,0.86876439,40.5,0.380851064,0.261320876,0.219493477,122
165,0.410122233,47.86666667,1523.466667,139.3414634,3.62195122,42,2.429429429,0.910947856,0.875609756,275
166,0.386265708,79.26666667,4327.366667,314.3365617,4.750605327,72.16666667,1.192528736,1.067818572,1.15157385,289
167,0.524332501,153.8,15702.3,457.7930029,3.539358601,93.5,0.640295359,0.595679613,0.896793003,406
