Genotype,Y,S1,S2,S3,S6,NP1,NP2,NP3,NP4,KR
248,97.33333333,125.6,12138.26667,328.6534296,2.906137184,70.33333333,0.342494715,0.52197285,0.680144404,357
249,78.73333334,133,11810.96667,396.7849944,3.58118701,93.16666667,0.831446541,0.669822305,0.893617021,468
251,79.4,140.3333333,14249.36667,468.2157722,3.794085433,89.5,1.070254111,0.636265599,0.922234392,463
252,87.44444445,44.93333333,1480.666667,35.65008026,0.722311396,60,0.331723027,0.344839198,0.216372392,179
253,78.33333333,117.1333333,9026.966667,317.4783118,3.172332943,84.5,0.724792408,0.635093992,0.823915592,449
254,77.59999999,87.6,5730,209.1240876,2.321167883,76.83333333,0.703703704,0.611476961,0.639416058,366
255,77.93333334,119.8,9789.1,350.8637993,3.268817204,81.33333333,0.883817427,0.620829733,0.858781362,436
256,77.73333334,102.6,7343.5,272.9925651,2.669144981,79,0.844357977,0.635034,0.762825279,422
257,76.93333333,88,5395.2,217.5483871,2.677419355,78.83333333,0.899224806,0.684746863,0.709677419,388
258,83.33333333,94.73333333,6051.766667,356.6856582,4.349705305,88,1.220833333,1.15944187,1.116699411,479
259,77.26666667,112.7333333,8791.366667,325.2046856,3.176325524,81,0.889355742,0.656587242,0.834032059,456
261,86.19444445,88.8,6022.4,170.1242938,1.762711864,66.83333333,0.393617021,0.492070792,0.501694915,275
262,86.8888889,104.3333333,7654.966667,205.5944494,2.196956132,68.16666667,0.330923695,0.482668741,0.560429722,251
263,89.00000002,58.26666667,2291.866667,47.48342541,1.002762431,58,0.458672087,0.310174376,0.241436464,186
264,90.94444446,83.53333333,5426.7,108.3173653,1.225548902,75.66666667,0.41634981,0.371919845,0.333466401,218
265,87.66666666,115.2666667,9139.766667,234.1528608,2.341588386,74.16666667,0.366979656,0.487934379,0.590606319,266
266,90.05555556,96.6,8042.966667,164.9275461,1.473684211,74.83333333,0.396678967,0.384274113,0.396172249,236
267,91.16666667,56.6,3001.9,56.11028037,0.803738318,60.33333333,0.361853832,0.288647734,0.211588785,182
268,80.66666668,149.0666667,15244.4,629.9338843,4.842975207,119.3333333,1.247672253,1.01436158,1.231955923,549
269,89.94444446,112.6666667,9331.066667,205.228739,1.988269795,77.83333333,0.35959596,0.405928691,0.495601173,230
270,87.77777778,59.8,2489.366667,57.93716059,1.065942591,65.66666667,0.284552846,0.345360458,0.278355314,179
272,81.50000001,75.06666667,4082,132.5324675,2.181818182,88.33333333,0.348909657,0.657349721,0.487445887,294
273,90.22222223,55.46666667,2665.866667,51.53092784,0.762886598,69.83333333,0.36329588,0.317306798,0.21443299,190
274,79.26666667,124.8666667,10482.56667,333.485684,3.111346766,87.66666667,0.644664466,0.595320855,0.794485684,450
275,84.55555556,74.66666667,3944.666667,129.4748359,1.667396061,63.66666667,0.383219955,0.535412405,0.490153173,260
276,76.00000001,82,4887.466667,221.4864048,2.779456193,72.66666667,1.32991453,0.730655768,0.743202417,388
277,87.38888889,93.33333333,7247.866667,182.4127517,1.644295302,70.16666667,0.34026174,0.456450627,0.469798658,267
278,80.8,141.8,13504.16667,402.3088381,3.163853029,87.16666667,0.718644068,0.555373505,0.844885799,440
279,90.52777778,75.46666667,4359.466667,86.61192053,1.064900662,85.33333333,0.416666667,0.375098777,0.29986755,229
280,76.33333332,132.9333333,12850.66667,565.2785924,4.991202346,87.66666667,1.880952381,0.829559628,1.169501466,482
281,85.72222223,72.26666667,3872,114.556213,1.443786982,67,0.308605341,0.471614915,0.427613412,240
282,89.16666666,54.2,1921.1,39.93970894,0.869022869,48.16666667,0.350305499,0.249396498,0.225363825,127
283,89.63888888,52.8,2245.466667,45.02941176,0.767379679,60,0.378205128,0.293247376,0.211764706,183
285,89.8888889,79.86666667,5660.666667,114.8985115,1.188092016,66.5,0.356647763,0.340241356,0.324221922,203
286,71.66666667,57,2118.966667,158.5261845,3.306733167,69.33333333,2.61498708,1.176465467,0.85286783,340
288,82.73333334,140.8,13037.86667,474.6796117,3.873786408,112.1666667,0.631455399,0.842128956,1.025242718,526
289,84,63.8,2727.766667,92.25817362,1.632468997,71.66666667,0.256813417,0.529751239,0.43156708,238
290,86.33333334,48.4,1633.466667,41.38851351,0.881756757,35.66666667,0.259541985,0.208031038,0.24527027,102
291,89.66666668,47.8,2564.966667,52.09817197,0.830060934,56.16666667,0.338993711,0.280615803,0.194177387,158
292,96.33333333,33.33333333,1093.866667,18.19068736,0.467849224,49.33333333,0.487098473,0.220258424,0.110864745,62
293,86.61111111,65.73333333,2853.2,73.15897436,1.374358974,55.83333333,0.396782842,0.386654613,0.337094017,203
295,71.11111111,92.73333333,5921.9,313.3280423,4.158730159,88.83333333,0.96184739,1.155934983,0.981305115,341
296,76.26666668,113.1333333,9326.966667,402.6028777,4.028776978,80.83333333,1.577494692,0.750755188,0.976690647,457
297,74.61111111,91.46666667,5518,265.2884615,3.480769231,86.33333333,0.861111111,0.94349524,0.879487179,333
298,74.33333333,93.8,5753.766667,281.5872757,3.650897227,90.16666667,0.893115942,1.004259508,0.918107667,342
299,76.44444444,91.93333333,5668.566667,228.8788694,3.044414536,76.66666667,0.537037037,0.740070946,0.742395693,233
301,75.83333334,78.66666667,4188.666667,191.554878,2.841463415,78.66666667,0.746031746,0.843642239,0.719512195,262
302,74.77777778,76.4,4066,191.7924528,3.20754717,81,0.613268608,0.918551252,0.720754717,269
303,75.1388889,98.6,6722.966667,291.8798842,3.311143271,82.83333333,0.864583333,0.863014504,0.856150507,309
304,75.49999999,68.46666667,3574.966667,163.7389313,2.317557252,71,1.108298172,0.720869406,0.627175573,321
305,85.33333333,79.53333333,4228.566667,118.0065116,1.825116279,57.5,0.354781055,0.414145761,0.443906977,230
306,78.55555556,77.13333333,3943.1,167.7914894,2.612765957,66.16666667,0.447222222,0.651953224,0.656453901,182
307,86.72222221,90.66666667,6246.266667,169.4285714,1.797468354,69,0.29003268,0.469205452,0.491862568,247
308,86.16666668,49.8,2403.366667,66.33026679,1.072677093,53.66666667,0.220822838,0.334709872,0.274885005,158
309,90.72222221,52.66666667,1839.466667,34.49,0.81,51.83333333,0.495061728,0.258046296,0.1975,146
310,86.66666668,42.2,1202.7,30.44810127,0.825316456,44,0.283887468,0.26641552,0.213670886,125
311,85.88888889,61.66666667,2867.5,82.63688761,1.400576369,65.66666667,0.224028907,0.40105869,0.355427474,184
312,93.99999999,42,1329.066667,22.81006865,0.629290618,52.33333333,0.497835498,0.20681233,0.14416476,64
313,92.52777778,62.2,2728.966667,50.94523958,0.841319228,53.5,0.480934809,0.221929855,0.232233976,39
314,78.06666667,79.73333333,5414.266667,192.9073634,2.247030879,73.16666667,0.57495069,0.576968616,0.568171021,308
315,81.13333333,121.2,10952.26667,297.0777577,2.600361664,80.16666667,0.371406371,0.483373484,0.657504521,380
316,67.26666665,44.6,1348.966667,137.1830508,3.511864407,55.33333333,3.074074074,1.348658457,0.907118644,308
317,76.50000001,78.06666667,4047.766667,164.3207037,2.671177267,75.5,0.475592748,0.745857531,0.633829499,231
318,75.44444445,79.73333333,4194.666667,186.1538462,2.733727811,75.16666667,0.671666667,0.83775495,0.707692308,253
319,66.33333334,107.6,8562.666667,558.4347826,5.834782609,86.83333333,2.740740741,1.31662519,1.403478261,485
320,93.27777778,42.13333333,1188.8,20.92957746,0.563380282,40.66666667,0.445407279,0.191742515,0.148356808,31
321,74,57.6,3011.2,139.4074074,1.981481481,59.16666667,1.033472803,0.646811158,0.533333333,282
322,80.55555556,74.06666667,3618.7,132.5531136,2.234432234,67.16666667,0.37377451,0.557248959,0.542612943,195
323,72.94444445,108.0666667,7533.766667,298.5640687,3.305151915,88.83333333,0.56916996,0.856557754,0.85653897,274
324,83.16666667,87.33333333,5312.4,151.7828571,2.205714286,81.66666667,0.388721047,0.516415344,0.499047619,251
70,69.13333334,106.8,10045.6,738.6470588,6.323529412,92.33333333,3.874213836,1.653102241,1.570588235,587
131,106,164.9333333,20149.46667,873.5317919,5.953757225,112.6666667,2.376436782,1.078890547,1.430057803,599
132,64.66666667,100.5333333,7844.8,560.3428571,6.4,90.5,4.259259259,1.457953789,1.436190476,528
154,61,0.333333333,0.166666667,0.714285714,1.428571429,99.33333333,231.3333333,94.47081398,0.285714286,556
159,88.66666667,110.8666667,15130.56667,1264.392758,8.328690808,88.83333333,44.875,1.823831977,1.852924791,571
175,80.66666666,153.1333333,17100.56667,719.5189341,5.47545582,119.5,1.77294686,1.036435272,1.288639551,551
