Genotype,Y,S1,S2,S3,S6,NP1,NP2,NP3,NP4,KR
206,0.861986407,128,12424.26667,305.01473,2.317512275,69.83333333,0.355154251,0.439169149,0.628477905,421
207,0.841527056,59.66666667,2472.3,77.99053628,1.293375394,47,0.353632479,0.437348329,0.376445846,177
208,0.822777532,64,3504.8,219.05,2.75,62.66666667,1.069444444,1.091157642,0.8,273
209,0.883437094,2.333333333,3.766666667,0.058640374,0.028022833,49,0.697252462,0.24166849,0.007265179,125
210,0.884534359,2.4,4.266666667,0.066184074,0.031023785,50.66666667,0.699174407,0.246163302,0.007445708,120
211,0.874420222,114.0666667,15614.96667,307.1796721,1.992131148,62,0.306233062,0.372080158,0.448786885,423
212,0.838329569,98.6,7788.166667,297.6369427,2.833121019,55.33333333,0.544753086,0.705157392,0.753630573,262
213,0.834462899,61.26666667,2913.1,123.9617021,1.778723404,53.66666667,0.308259587,0.624545305,0.52141844,211
214,0.837649186,101.4666667,8855.466667,356.1179625,2.965147453,64,0.595238095,0.779428085,0.816085791,275
216,0.8407002,89.53333333,5295.366667,163.2692703,2.05344296,55.16666667,0.396875,0.466082859,0.552106886,172
217,0.848364723,90.2,5524.3,144.9947507,1.695538058,42.83333333,0.503527337,0.30076521,0.473490814,88
218,0.814064272,53.33333333,3246.8,523.6774194,7.419354839,67.16666667,31.6,3.029210892,1.720430108,578
219,0.826454799,93,6143.366667,260.6803395,2.76096181,68,0.483072917,0.809907462,0.789250354,283
220,0.82833347,101.7333333,7279.6,263.7536232,2.956521739,66.66666667,0.405970149,0.669831632,0.737198068,256
221,0.848544761,103.0666667,7304.8,182.62,1.99,57.66666667,0.392776524,0.343337379,0.515333333,70
222,0.830484478,118.0666667,9161.366667,326.8026159,3.131985731,72.5,0.552631579,0.69084014,0.842330559,278
223,0.822760094,84.66666667,4946.666667,245.6953642,3.350993377,68,0.923566879,0.916148035,0.841059603,262
224,0.831680453,97,6472.966667,234.8113664,2.752116082,67.5,0.379310345,0.673475323,0.703748489,268
225,0.817035318,98.13333333,10021.06667,729.6893204,5.834951456,71.33333333,3.622222222,1.435473912,1.429126214,333
226,0.868872785,36.06666667,936.5666667,16.25043378,0.530942741,49,0.586823004,0.260217205,0.125159051,95
227,0.820600005,72.33333333,3503.766667,213.2109533,3.152129817,63.33333333,0.874485597,1.022376765,0.880324544,257
229,0.809818268,69.13333333,3909.366667,348.0148368,4.646884273,67.83333333,2.423868313,1.650622645,1.230860534,275
230,0.841625033,79.06666667,4164.266667,148.3705463,2.057007126,66.5,0.441176471,0.59238424,0.563420428,223
231,0.841453362,44.33333333,1369.366667,46.21034871,1.248593926,38.83333333,0.339328537,0.296973532,0.299212598,113
232,0.841290809,92.2,5707.1,278.395122,3.424390244,51.5,1.084602369,0.605159913,0.899512195,424
233,0.839750875,106.4,7643.2,298.5625,3.59375,76.5,0.58974359,0.635113753,0.83125,217
234,0.849863019,96.13333333,7078.666667,228.8362069,2.293103448,40.83333333,0.451207729,0.456104195,0.621551724,405
235,0.862145733,33.33333333,1067.466667,19.74352651,0.478421702,44.83333333,0.61465721,0.224283,0.123304562,85
236,0.859031984,35.33333333,880.6666667,17.38157895,0.584210526,51.16666667,0.572158365,0.275585658,0.139473684,124
237,0.866114149,14.2,132.9666667,2.317838466,0.184776293,36,0.611594203,0.191121117,0.049506101,48
238,0.84390746,101.5333333,7022.166667,297.1297602,3.373765867,50.33333333,0.738515901,0.54003356,0.859238364,423
239,0.859710774,22.06666667,317.9,6.125240848,0.327552987,45.33333333,0.622093023,0.233309563,0.085035324,104
240,0.855762719,31.8,662.1666667,14.09865153,0.498225692,52.16666667,0.555087719,0.277178489,0.135415188,130
241,0.85185972,94.33333333,6188.166667,149.5930701,1.929089444,88,0.518107908,0.483231201,0.456083803,193
242,0.845722916,90.53333333,6227.2,193.3913043,2.236024845,77.33333333,0.577464789,0.626375266,0.562318841,226
243,0.847517077,108.8,8646.266667,308.0617577,2.655581948,48.16666667,0.67688378,0.485265951,0.775296912,405
244,0.840078475,63.93333333,2673.366667,97.44957473,1.756986634,45.5,0.398550725,0.414266518,0.466099635,153
245,0.848253825,108.4666667,8026.966667,280.3364377,2.88242142,63.5,0.482587065,0.558926303,0.757625146,429
246,0.842843329,91,5518.966667,187.9330306,2.311010216,70.33333333,0.50273224,0.60804791,0.619750284,221
247,0.839765426,83.53333333,4804.966667,248.1049914,3.215146299,45.33333333,1.050822123,0.616995776,0.862650602,423
