Genotype,Y,S1,S2,S3,S6,NP1,NP2,NP3,NP4,KR
193,2.566767874,110.0666667,8926.7,288.8899676,2.375404531,48.16666667,0.532657658,0.479412456,0.712405609,375
194,2.504597181,145.4,14965.1,677.1538462,5.49321267,75,1.878612717,0.914664095,1.315837104,581
195,2.360448601,81.13333333,4818.3,275.3314286,3.954285714,73.83333333,1.704035874,1.130923408,0.927238095,572
196,2.522823431,125,10776.16667,330.8955988,3.005117707,49.83333333,0.431937173,0.419493442,0.76765609,325
197,2.910776258,83.66666667,4769.9,95.97384306,1.291750503,98.16666667,0.631086142,0.455965684,0.336686787,253
198,2.879262962,24,394.2666667,6.908878505,0.301401869,54.66666667,0.643779343,0.238306304,0.08411215,102
199,2.972980512,106.4,8974.8,180.2168675,1.815261044,126,0.570281124,0.55091691,0.427309237,284
200,2.430249862,120.9333333,10792.4,568.0210526,4.715789474,73,2.194616977,1.052801156,1.272982456,578
201,2.462733831,143.3333333,14227.86667,537.5768262,4.549118388,97.66666667,0.937694704,0.795459454,1.083123426,267
202,2.834767432,117.6,10126.66667,217.9340029,2.071736011,97.16666667,0.430426716,0.439746431,0.506169297,235
203,2.236735579,76.13333333,4109.2,266.8311688,3.74025974,54.33333333,0.936507937,0.848363363,0.988744589,250
204,2.104643422,94.93333333,6550.666667,479.3170732,5.795121951,73,2.757201646,1.116007586,1.389268293,337
205,2.517681791,121.9333333,11494.3,473.0164609,3.366255144,57,0.884773663,0.658259007,1.003566529,462
206,2.543959927,139.0666667,12737.2,421.7615894,3.337748344,63.16666667,0.617044229,0.542270709,0.920971302,434
207,2.769963156,127.5333333,11877.76667,277.3019455,2.647470817,117,0.494227994,0.552573024,0.595486381,264
208,2.912812937,74.8,3857.866667,75.25097529,1.178153446,99.33333333,0.596359071,0.436365663,0.291807542,242
209,1.902265065,66.13333333,4139.6,459.9555556,6.355555556,87,6.179487179,2.060351429,1.46962963,440
210,1.902539633,69.86666667,4471.866667,500.5820896,6.835820896,83.16666667,8.912280702,2.262735916,1.564179104,470
211,2.346699624,84.33333333,4819.9,263.3825137,3.967213115,43.66666667,1.18877551,0.565414624,0.921675774,319
212,2.850633961,109.8,8332.3,177.6609808,1.867803838,99.16666667,0.45793192,0.443036979,0.468230277,223
213,2.76725643,69.33333333,3349.866667,67.62853297,1.130551817,87.83333333,0.547482473,0.369543781,0.279946164,199
214,2.615436975,61.2,2678.666667,63.07692308,1.111459969,56.5,0.44648318,0.293316873,0.28822606,112
216,2.678055846,92.26666667,8497.066667,191.0884558,1.64017991,66.5,0.509240246,0.341382471,0.414992504,200
217,2.759826234,53.06666667,1867.466667,37.15119363,0.827586207,66.33333333,0.554036458,0.295660795,0.211140584,133
218,2.688255323,168.2666667,20369.86667,658.5086207,4.926724138,86.33333333,0.761078998,0.724384836,1.087931034,577
219,2.499591225,118.2,9542.7,293.6215385,2.972307692,76.83333333,0.524378109,0.570876807,0.727384615,277
220,2.332376768,74.13333333,4607.466667,224.3896104,2.506493506,52,0.468164794,0.763076812,0.722077922,263
221,2.465871472,87.93333333,5506.966667,183.7697442,2.355951057,69,0.453431373,0.596384019,0.586874305,262
