Genotype,Y,S1,S2,S3,S6,NP1,NP2,NP3,NP4,KR
235,4.875337412,58.8,2511.866667,91.45145631,1.548543689,55.66666667,0.333333333,0.493644211,0.42815534,231
236,5.255909467,48.2,1646.7,42.11508951,0.982097187,55,0.654794521,0.347771756,0.246547315,178
237,4.517540342,71.33333333,4155.466667,245.4015748,3.346456693,42.5,0.800546448,0.722676912,0.842519685,280
238,4.524171247,56.86666667,2149.766667,164.943734,3.355498721,36.16666667,1.95045045,0.703399206,0.872634271,299
239,4.354773759,66.2,3405.9,252.2888889,3.97037037,47.16666667,1.549450549,0.774462855,0.980740741,245
240,4.42328052,68.26666667,3694.8,246.32,3.706666667,48.66666667,1.18,0.716865605,0.910222222,253
241,4.361788342,63.46666667,3422,255.3731343,3.641791045,47.66666667,1.389473684,0.840987349,0.947263682,253
242,6.113860556,13.33333333,128,2.397003745,0.179775281,40.5,0.475746269,0.215883484,0.049937578,47
243,5.348525776,83.86666667,7552.266667,215.3688213,1.988593156,42.83333333,0.273301738,0.40733797,0.478326996,368
244,4.542067783,64.8,3507.866667,194.1623616,2.752767528,38.83333333,0.747619048,0.640837884,0.717343173,255
245,6.891445348,113.5333333,15086.16667,301.9246164,1.991994663,60.66666667,0.323076923,0.371499003,0.454436291,327
246,6.549654229,20.13333333,273.2,4.826855124,0.268551237,60.66666667,0.508710801,0.284268731,0.071142521,183
247,4.841069971,60.53333333,3237.066667,150.7950311,1.98136646,34,0.844250364,0.496933228,0.563975155,313
248,4.67879724,57.8,2442.966667,142.3087379,2.625242718,38.5,1.235772358,0.560936561,0.673398058,298
249,5.088893043,80.6,5496.566667,193.3141852,1.988276671,48.33333333,0.406318083,0.462030081,0.566940211,352
251,4.487891883,52.06666667,1858.966667,160.7175793,3.44092219,29.33333333,2.425076453,0.681457182,0.900288184,300
252,5.200461461,50.93333333,1739.866667,45.9471831,0.950704225,48.16666667,0.408573928,0.348877079,0.269014085,186
253,5.209635835,90.06666667,6900.166667,215.8550574,2.173096976,50.16666667,0.320954907,0.439301029,0.56350365,380
254,5.164898319,85.26666667,6288.7,204.8436482,2.175895765,48.33333333,0.386111111,0.438271837,0.55548317,369
255,4.933993626,88.6,5625.1,225.9076305,2.883534137,47.33333333,0.750865052,0.506781411,0.711646586,297
256,4.972655738,78.86666667,4746.166667,188.589404,2.347019868,42.16666667,0.623543124,0.48767809,0.626754967,338
